"";"BARRI";"n_schools_park150"
"1";"01";7
"2";"02";3
"3";"03";2
"4";"04";2
"5";"05";2
"6";"06";3
"7";"07";10
"8";"08";6
"9";"09";6
"10";"10";2
"11";"11";5
"12";"13";9
"13";"14";1
"14";"15";2
"15";"16";3
"16";"17";1
"17";"18";4
"18";"19";8
"19";"21";1
"20";"23";7
"21";"24";2
"22";"25";6
"23";"26";3
"24";"27";2
"25";"28";7
"26";"29";1
"27";"30";3
"28";"31";1
"29";"32";4
"30";"33";1
"31";"35";6
"32";"36";1
"33";"37";2
"34";"39";1
"35";"40";1
"36";"41";1
"37";"44";3
"38";"45";2
"39";"46";3
"40";"48";4
"41";"49";1
"42";"50";1
"43";"51";2
"44";"52";6
"45";"53";1
"46";"55";2
"47";"57";2
"48";"58";2
"49";"59";1
"50";"60";8
"51";"61";6
"52";"62";2
"53";"63";2
"54";"64";3
"55";"65";4
"56";"67";1
"57";"68";8
"58";"69";3
"59";"70";3
"60";"71";4
"61";"72";7
"62";"73";1
