BARRIO;age0_3;age3_6;age6_12;age12_18
1;1645;1659;2737;2614
2;432;404;731;688
3;270;264;470;508
4;484;513;913;1007
5;840;953;1738;1673
6;1249;1340;2372;2469
7;1164;1175;2264;2405
8;1021;1029;1892;2139
9;1524;1552;2719;2751
10;1028;1018;1749;1770
11;1113;1112;1955;2081
12;69;63;94;86
13;801;920;1845;2149
14;253;234;417;577
15;458;449;764;747
16;578;618;1035;1045
17;649;682;1231;1277
18;1222;1311;2231;2192
19;1321;1467;2648;2581
20;666;770;1431;1365
21;338;381;909;1069
22;158;202;431;424
23;836;1007;2129;2215
24;501;651;1337;1537
25;743;909;1967;2295
26;1534;1559;2979;3692
27;930;1046;1977;2114
28;454;503;1010;1107
29;206;230;478;472
30;390;446;815;860
31;1530;1492;2506;2415
32;1031;1051;1725;1797
33;704;726;1278;1279
34;287;267;525;540
35;1034;1135;2122;2112
36;247;297;618;717
37;859;1025;1964;2085
38;323;386;689;752
39;230;242;413;502
40;128;136;263;292
41;163;181;325;321
42;24;36;63;35
43;773;878;1660;1784
44;652;742;1392;1567
45;730;838;1595;1626
46;561;578;1071;1084
47;44;63;152;174
48;362;452;930;988
49;131;186;370;403
50;560;661;1170;1206
51;365;401;814;837
52;660;798;1553;1700
53;215;241;489;523
54;96;106;234;284
55;466;513;895;858
56;42;50;124;136
57;449;439;823;788
58;89;100;196;198
59;442;476;1034;1137
60;1622;1971;3693;3822
61;769;927;1756;1591
62;406;430;841;840
63;593;634;1163;1241
64;971;1098;1918;1907
65;641;757;1424;1630
66;519;585;938;796
67;257;301;621;691
68;1082;1280;2378;2431
69;498;573;1109;1114
70;889;964;1759;1820
71;708;736;1373;1377
72;632;730;1451;1562
73;708;868;1605;1762
